Dept,CourseName,Instructor
AFAM,African and African American Studies Capstone,Pamela Feldman-Savelsberg
AFAM,Integrative Exercise,Staff
AFAM,Schooling and Opportunity in American Society,Anita Chikkatur
AFAM,West Africa in the Era of the Slave Trade,Thabiti Willis
AFAM,African in the Arab World,Thabiti Willis
AFAM,U.S. Relations with Ghana: The Field Trip and Beyond,Harry Williams
AFAM,Ethnic Drumming Instruction (Juried),Jay Johnson
AFAM,West African Drum Ensemble,Jay Johnson
AFAM,African Drum Class,Jay Johnson
AFAM,Politics in America: Liberty and Equality,Steven Schier
AFAM,Urban Political Economy,Richard Keiser
AFAM,Urban Political Economy*,Richard Keiser
AFAM,Psychology of Prejudice,Sharon Akimoto
AFAM,Race and Ethnicity in the United States,Liz Raleigh
AFAM,Introduction to Women's and Gender Studies,Annette Igra
AMMU,America's Music,Melinda Russell
AMMU,Music Theory II,Justin London
AMMU,Introduction to Anthropology,Constanza Ocampo-Raeder
AMMU,Introduction to Sociology,Brian Fuller
AMMU,Social Movements,Daniel Williams
AMMU,Race and Ethnicity in the United States,Liz Raleigh
AMMU,Immigration and Immigrants in Europe and the United States,Daniel Williams
AMMU,Introduction to Women's and Gender Studies,Annette Igra
AMST,American Food?,Audrey Russek
AMST,Unseen Evidence: Images and the Archive in American Studies,Audrey Russek
AMST,Theory and Practice of American Studies,Adriana Estill
AMST,Integrative Exercise,Staff
AMST,Seminar in Developmental Psychology: Cognitive Development During the Preschool Years,Kathleen Galotti
AMST,The Economics of Sports,Mark Kanazawa
AMST,Economics of Natural Resources and the Environment,Aaron Swoboda
AMST,Labor Economics,Jenny Bourne
AMST,The History of American School Reform,Jeff Snyder
AMST,Schooling and Opportunity in American Society,Anita Chikkatur
AMST,Introduction to U.S. Latino/a Literature,Adriana Estill
AMST,The City in American Literature,Nancy Cho
AMST,The Age of Jefferson,Serena Zabin
AMST,American Cities and Nature,George Vrtis
AMST,America's Music,Melinda Russell
AMST,Politics in America: Liberty and Equality,Steven Schier
AMST,Environmental Justice,Kimberly Smith
AMST,American Foreign Policy,Steven Schier
AMST,Psychology of Prejudice,Sharon Akimoto
AMST,Native American Religious Freedom,Michael McNally
AMST,Modern Families: An Introduction to the Sociology of the Family,Liz Raleigh
AMST,Social Movements,Daniel Williams
AMST,Race and Ethnicity in the United States,Liz Raleigh
AMST,Immigration and Immigrants in Europe and the United States,Daniel Williams
ARBC,Elementary Arabic,Zaki Haidar
ARBC,Intermediate Arabic,Yaron Klein
ARBC,Narratives of Arab Modernity,Zaki Haidar
ARCN,The Archaeology of Mediterranean Prehistory: From the Beginning to the Classical Age,Alex Knodell
ARCN,Climate Change in Geology,Clinton Cowan
ARCN,Introduction to Anthropology,Constanza Ocampo-Raeder
ARTH,Introduction to Art History II,"Baird Jarman, Jessica Keating"
ARTH,Chinese Art and Culture,Kathleen Ryor
ARTH,Seminar for Art History Majors,Baird Jarman
ARTH,Theories of Postmodernism,Ross Elfline
ARTH,Integrative Exercise,Staff
ASST,Integrative Exercise,Kathleen Ryor
