department,course,professor
African/African American Studies,African and African American Studies Capstone,Pamela Feldman-Savelsberg
African/African American Studies,Integrative Exercise,Staff
African/African American Studies,Schooling and Opportunity in American Society,Anita Chikkatur
African/African American Studies,West Africa in the Era of the Slave Trade,Thabiti Willis
African/African American Studies,African in the Arab World,Thabiti Willis
African/African American Studies,U.S. Relations with Ghana: The Field Trip and Beyond,Harry Williams
African/African American Studies,Ethnic Drumming Instruction (Juried),Jay Johnson
African/African American Studies,West African Drum Ensemble,Jay Johnson
African/African American Studies,African Drum Class,Jay Johnson
African/African American Studies,Politics in America: Liberty and Equality,Steven Schier
African/African American Studies,Urban Political Economy,Richard Keiser
African/African American Studies,Urban Political Economy*,Richard Keiser
African/African American Studies,Psychology of Prejudice,Sharon Akimoto
African/African American Studies,Race and Ethnicity in the United States,Liz Raleigh
African/African American Studies,Introduction to Women's and Gender Studies,Annette Igra
American Music,America's Music,Melinda Russell
American Music,Music Theory II,Justin London
American Music,Introduction to Anthropology,Constanza Ocampo-Raeder
American Music,Introduction to Sociology,Brian Fuller
American Music,Social Movements,Daniel Williams
American Music,Race and Ethnicity in the United States,Liz Raleigh
American Music,Immigration and Immigrants in Europe and the United States,Daniel Williams
American Music,Introduction to Women's and Gender Studies,Annette Igra
American Studies,American Food?,Audrey Russek
American Studies,Unseen Evidence: Images and the Archive in American Studies,Audrey Russek
American Studies,Theory and Practice of American Studies,Adriana Estill
American Studies,Integrative Exercise,Staff
American Studies,Seminar in Developmental Psychology: Cognitive Development During the Preschool Years,Kathleen Galotti
American Studies,The Economics of Sports,Mark Kanazawa
American Studies,Economics of Natural Resources and the Environment,Aaron Swoboda
American Studies,Labor Economics,Jenny Bourne
American Studies,The History of American School Reform,Jeff Snyder
American Studies,Schooling and Opportunity in American Society,Anita Chikkatur
American Studies,Introduction to U.S. Latino/a Literature,Adriana Estill
American Studies,The City in American Literature,Nancy Cho
American Studies,The Age of Jefferson,Serena Zabin
American Studies,American Cities and Nature,George Vrtis
American Studies,America's Music,Melinda Russell
American Studies,Politics in America: Liberty and Equality,Steven Schier
American Studies,Environmental Justice,Kimberly Smith
American Studies,American Foreign Policy,Steven Schier
American Studies,Psychology of Prejudice,Sharon Akimoto
American Studies,Native American Religious Freedom,Michael McNally
American Studies,Modern Families: An Introduction to the Sociology of the Family,Liz Raleigh
American Studies,Social Movements,Daniel Williams
American Studies,Race and Ethnicity in the United States,Liz Raleigh
American Studies,Immigration and Immigrants in Europe and the United States,Daniel Williams
Arabic,Elementary Arabic,Zaki Haidar
Arabic,Intermediate Arabic,Yaron Klein
Arabic,Narratives of Arab Modernity,Zaki Haidar
Archaeology,The Archaeology of Mediterranean Prehistory: From the Beginning to the Classical Age,Alex Knodell
Archaeology,Climate Change in Geology,Clinton Cowan
Archaeology,Introduction to Anthropology,Constanza Ocampo-Raeder
Art and Art History,Introduction to Art History II,"Baird Jarman, Jessica Keating"
Art and Art History,Chinese Art and Culture,Kathleen Ryor
Art and Art History,Seminar for Art History Majors,Baird Jarman
Art and Art History,Theories of Postmodernism,Ross Elfline
Art and Art History,Integrative Exercise,Staff
Asian Studies,Integrative Exercise,Kathleen Ryor
Asian Studies,Chinese Art and Culture,Kathleen Ryor
Asian Studies,Seminar for Art History Majors,Baird Jarman
Asian Studies,Elementary Chinese,"Mark Hansell, Faye Merritt"
Asian Studies,Elementary Chinese,"Mark Hansell, Faye Merritt"
Asian Studies,Intermediate Chinese,Qiguang Zhao
Asian Studies,Intermediate Chinese,Faye Merritt
Asian Studies,Chinese Popular Culture,Shaohua Guo
Asian Studies,Advanced Chinese: Poems and Stories,Qiguang Zhao
Asian Studies,Modern Indian Fiction,Arnab Chakladar
Asian Studies,"History Workshop: The Chinese Cultural Revolution, 1966-76",Seungjoo Yoon
Asian Studies,Elementary Japanese,"Noboru Tomonari, Mariko Kaga"
Asian Studies,Elementary Japanese,"Mariko Kaga, Noboru Tomonari"
Asian Studies,Intermediate Japanese,Kathryn Sparling
Asian Studies,World of Japanese Manga in Translation,Noboru Tomonari
Asian Studies,Advanced Reading in Modern Japanese Literature: The Short Story,Kathryn Sparling
Asian Studies,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
Asian Studies,Raga: Vocal or Instrumental Study of Hindustani Music,David Whetstone
Asian Studies,Raga: Vocal or Instrumental Study of Hindustani Music,David Whetstone
Asian Studies,Sitar,David Whetstone
Asian Studies,Sitar (Juried),David Whetstone
Asian Studies,Chinese Musical Instruments,Gao Hong
Asian Studies,Chinese Musical Instruments (Juried),Gao Hong
Asian Studies,Raga: Vocal or Instrumental Study of Hindustani Music,David Whetstone
Asian Studies,Raga:Voc/Instr Study Hindustani (Juried),David Whetstone
Asian Studies,Sitar,David Whetstone
Asian Studies,Sitar (Juried),David Whetstone
Asian Studies,Chinese Musical Instruments,Gao Hong
Asian Studies,Chinese Musical Instruments (Juried),Gao Hong
Asian Studies,International Relations and World Politics,Hicham Bou Nassif
Asian Studies,Methods of Political Research,Greg Marfleet
Asian Studies,Political Economy &amp; Ecology of Southeast Asia: Social Changes in Southeast Asia,Tun Myint
Asian Studies,Political Econ &amp; Ecology of S.E. Asia: Diversity of Social Ecological Systems in Southeast Asia,Tun Myint
Asian Studies,Political Economy &amp; Ecology of Southeast Asia: Field Research Experiences and Methods,Tun Myint
Asian Studies,Introduction to Islam,Noah Salomon
Asian Studies,"Tantra: Secrecy, Sex, and the Sublime",Roger Jackson
Asian Studies,Samurai: Ethics of Death and Loyalty,Asuka Sango
Asian Studies,Theories and Methods in the Study of Religion,Michael McNally
Asian Studies,Spirit Possession,Kristin Bloomer
Astronomy,Introduction to Astronomy,Cindy Blaha
Biology,Human Reproduction and Sexuality,Matt Rand
Biology,"Genes, Evolution, and Development","Mark McKone, Stephan Zweifel"
Biology,Genes &amp; Evolution Lab,Jalean Petricka
Biology,Genes &amp; Evolution Lab,Stephan Zweifel
Biology,Genes &amp; Evolution Lab,Stephan Zweifel
Biology,Genes &amp; Evolution Lab,Sarah Deel
Biology,Genes &amp; Evolution Lab,Sarah Deel
Biology,Energy Flow in Biological Systems,"Raka Mitra, David Hougen-Eitzman"
Biology,Energy Flow Biol Sys Lab,David Hougen-Eitzman
Biology,Energy Flow Biol Sys Lab,Jalean Petricka
Biology,Energy Flow Biol Sys Lab,Raka Mitra
Biology,Energy Flow Biol Sys Lab,Andrea Kalis
Biology,Global Change Biology,Daniel Hernandez
Biology,Australia Program: Ecological Field Research,Annie Bosacker
Biology,Genetics,Jennifer Wolff
Biology,Genetics Laboratory,Jennifer Wolff
Biology,Genetics Laboratory,Jennifer Wolff
Biology,Australia Program: Marine Ecology,Annie Bosacker
Biology,"Australia Program: Learning Country, Culture and Environment in Australia",Annie Bosacker
Biology,Immunology,Debby Walser-Kuntz
Biology,Immunology Laboratory,Debby Walser-Kuntz
Biology,Human Physiology,Bridget Jacques-Fricke
Biology,Human Physiology Laboratory,Bridget Jacques-Fricke
Biology,Human Physiology Laboratory,Bridget Jacques-Fricke
Biology,Seminar: Evolution of Sex and Sexes,Mark McKone
Biology,Seminar: The Molecular Basis of Human Disease,Jalean Petricka
Biology,Seminar: Evo-Devo; Evolutionary Developmental Biology,Andrea Kalis
Biology,Critical Reading and Analysis of Primary Literature,Staff
Biology,Integrative Exercise,"Staff, Mark McKone"
Biology,Integrative Exercise,"Staff, Mark McKone"
Chemistry,Principles of Chemistry,Chris Calderone
Chemistry,Principles of Chemistry,Daniela Kohen
Chemistry,Principles of Chemistry Lab,Chris Calderone
Chemistry,Principles of Chemistry Lab,Daniela Kohen
Chemistry,Principles of Chemistry Lab,Chris Calderone
Chemistry,Organic Chemistry I,David Alberg
Chemistry,Organic Chemistry I Lab,David Alberg
Chemistry,Organic Chemistry I Lab,David Alberg
Chemistry,Organic Chemistry II,Bryan Whiting
Chemistry,Organic Chemistry II Lab,Bryan Whiting
Chemistry,Organic Chemistry II Lab,Bryan Whiting
Chemistry,Quantum Spectroscopy Laboratory,Trish Ferrett
Chemistry,Quantum Spectroscopy Laboratory,Trish Ferrett
Chemistry,Quantum Spectroscopy Laboratory,Will Hollingsworth
Chemistry,Quantum Spectroscopy Laboratory,Will Hollingsworth
Chemistry,Quantum Chemistry,Will Hollingsworth
Chemistry,Organic Chemistry III,Gretchen Hofmeister
Chemistry,Biophysical Chemistry,Ryan Steed
Chemistry,Biophysical Chemistry Lab,Ryan Steed
Chemistry,Integrative Exercise,Staff
Chemistry,Integrative Exercise,Chris Calderone
Chemistry,Integrative Exercise,Joe Chihade
Chemistry,Integrative Exercise,"Daniela Kohen, Deborah Gross"
Chemistry,Integrative Exercise,Will Hollingsworth
Chinese,Elementary Chinese,"Mark Hansell, Faye Merritt"
Chinese,Elementary Chinese,"Mark Hansell, Faye Merritt"
Chinese,Intermediate Chinese,Qiguang Zhao
Chinese,Intermediate Chinese,Faye Merritt
Chinese,Chinese Popular Culture,Shaohua Guo
Chinese,Advanced Chinese: Poems and Stories,Qiguang Zhao
Cinema and Media Studies,Digital Foundations,John Schott
Cinema and Media Studies,Digital Foundations,Rini Keagy
Cinema and Media Studies,Film History I,Carol Donelan
Cinema and Media Studies,Contemporary Global Cinemas,Jay Beck
Cinema and Media Studies,Digital Editing Workshop,Rini Keagy
Cinema and Media Studies,Television Studio Production,Paul Hager
Cinema and Media Studies,Cinema and Cultural Change in Chile and Argentina,Cecilia Cornejo
Cinema and Media Studies,Visual Studies Seminar,John Schott
Cinema and Media Studies,Integrative Exercise,Carol Donelan
Cinema and Media Studies,Integrative Exercise,John Schott
Cinema and Media Studies,Integrative Exercise,Jay Beck
Cinema and Media Studies,Integrative Exercise,Rini Keagy
Cinema and Media Studies,Photography I,Linda Rossi
Cinema and Media Studies,Advanced Photo: Digital Imaging,Linda Rossi
Cinema and Media Studies,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
Cinema and Media Studies,Live Performance and Digital Media,Roger Bechtel
Classical Studies,Introduction to Classical Studies,Chico Zimmerman
Classical Studies,The Archaeology of Mediterranean Prehistory: From the Beginning to the Classical Age,Alex Knodell
Classical Studies,Senior Symposium,Chico Zimmerman
Classical Studies,"Crisis, Creativity, and Transformation in Late Antiquity",William North
Cognitive Science,"Thinking, Reasoning, and Decision Making: Experimental Approaches",Kathleen Galotti
Cognitive Science,Seminar in Developmental Psychology: Cognitive Development During the Preschool Years,Kathleen Galotti
Cognitive Science,Introduction to Computer Science,Jadrian Miles
Cognitive Science,Introduction to Computer Science,Andy Exley
Cognitive Science,Introduction to Computer Science,Amy Csizmar Dalal
Cognitive Science,Computability and Complexity,David Liben-Nowell
Cognitive Science,Artificial Intelligence,Anna Rafferty
Cognitive Science,Generative Approaches to Syntax,Cherlon Ussery
Cognitive Science,First Language Acquisition,Catherine Fortin
Cognitive Science,Topics in Phonology,Ania Lubowicz
Cognitive Science,Logic,Douglas Marshall
Cognitive Science,Analytic Philosophy's Greatest Hits,Jason Decker
Cognitive Science,Sensation and Perception,Julia Strand
Cognitive Science,Cognitive Neuroscience,Julie Neiworth
Computer Science,Introduction to Computer Science,Jadrian Miles
Computer Science,Introduction to Computer Science,Andy Exley
Computer Science,Introduction to Computer Science,Amy Csizmar Dalal
Computer Science,Data Structures,Anna Rafferty
Computer Science,Computer Organization and Architecture,Jeffrey Ondich
Computer Science,Algorithms,David Liben-Nowell
Computer Science,Computability and Complexity,David Liben-Nowell
Computer Science,Artificial Intelligence,Anna Rafferty
Computer Science,Data Mining,David Musicant
Computer Science,Digital Electronics,Andy Exley
Computer Science,Digital Electronics Lab,Andy Exley
Computer Science,Integrative Exercise,Amy Csizmar Dalal
Computer Science,Integrative Exercise,Amy Csizmar Dalal
Computer Science,Integrative Exercise,Amy Csizmar Dalal
Computer Science,Integrative Exercise,Jadrian Miles
Computer Science,Integrative Exercise,Jadrian Miles
Computer Science,Integrative Exercise,Jadrian Miles
Computer Science,Integrative Exercise,Jeffrey Ondich
Computer Science,Integrative Exercise,Jeffrey Ondich
Computer Science,Integrative Exercise,Jeffrey Ondich
Computer Science,Integrative Exercise,David Liben-Nowell
Cross Cultural Studies,International Coffee and News,Noboru Tomonari
Cross Cultural Studies,Creative Travel Writing Workshop,Scott Carpenter
Cross Cultural Studies,I'm A Stranger Here Myself,Eva Posfay
Cross Cultural Studies,Studio Art Seminar in th South Pacific: The Physical and Cultural Environment,Fred Hagstrom
Cross Cultural Studies,Global Change Biology,Daniel Hernandez
Cross Cultural Studies,Australia Program: Ecological Field Research,Annie Bosacker
Cross Cultural Studies,Schooling and Opportunity in American Society,Anita Chikkatur
Cross Cultural Studies,Introduction to U.S. Latino/a Literature,Adriana Estill
Cross Cultural Studies,Biodiversity Conservation and Development,Tsegaye Nega
Cross Cultural Studies,Topics in Cultural Studies: Cultural Reading of Food,Christine Lac
Cross Cultural Studies,The Mande of West Africa: A Tradition of Change,Cherif Keita
Cross Cultural Studies,Europe in the Twentieth Century,David Tompkins
Cross Cultural Studies,Comparative Political Regimes,Dev Gupta
Cross Cultural Studies,Latin American Politics,Alfred Montero
Cross Cultural Studies,"Capitalist Crises, Power, and Policy",Kent Freeze
Cross Cultural Studies,Psychology of Prejudice,Sharon Akimoto
Cross Cultural Studies,Introduction to Christianity,Kristin Bloomer
Cross Cultural Studies,Native American Religious Freedom,Michael McNally
Cross Cultural Studies,Anthropology of Health and Illness,Pamela Feldman-Savelsberg
Cross Cultural Studies,Introduction to Latin American Literature,Silvia Lopez
Cross Cultural Studies,Women Writers in Latin America: Body and Text,Becky Boling
Cross Cultural Studies,Introduction to Women's and Gender Studies,Annette Igra
Cross Cultural Studies,Transnational Feminist Activism,Meera Sehgal
Dance,Ballet I,Jennifer Bader
Dance,Modern Dance I: Technique and Theory,Daphne McCoy
Dance,Contact Improvisation,Jane Shockley
Dance,Modern Dance II: Technique and Theory,Daphne McCoy
Dance,Winter Dance,Judith Howard
Dance,Ballet II,Jennifer Bader
Dance,"Winter Dance, Student Choreography",Judith Howard
Dance,Movement for the Performer,Jane Shockley
Dance,The Body as Choreographer,Judith Howard
Dance,Modern Dance III: Technique and Theory,Jane Shockley
Dance,Semaphore Repertory Dance Company,"Judith Howard, Jane Shockley"
Economics,Principles of Macroeconomics,Bruce Wambheim
Economics,Principles of Macroeconomics,Ben Keefer
Economics,Principles of Macroeconomics,Martha Paas
Economics,Principles of Microeconomics,Mark Kanazawa
Economics,Principles of Microeconomics,Lauren Feiler
Economics,Principles of Microeconomics,Prathi Seneviratne
Economics,Analysis of Microeconomic Development Models,Faress Bhuiyan
Economics,The Economics of Sports,Mark Kanazawa
Economics,"Entrepreneurship, Innovation, and Economic Performance",Bruce Dalgaard
Economics,Health Care Economics,Martha Paas
Economics,Economics of Natural Resources and the Environment,Aaron Swoboda
Economics,Labor Economics,Jenny Bourne
Economics,An Economic History of Financial Crises,Bruce Wambheim
Economics,Intermediate Price Theory,Jenny Bourne
Economics,Intermediate Macro Theory,Ben Keefer
Economics,Integrative Exercise,Lauren Feiler
Economics,Integrative Exercise,Prathi Seneviratne
Economics,Integrative Exercise,Faress Bhuiyan
Educational Studies,Introduction to Educational Studies,Anita Chikkatur
Educational Studies,The History of American School Reform,Jeff Snyder
Educational Studies,Multicultural Education,Jeff Snyder
Educational Studies,Methods of Teaching Science,Eric Swan McDonald
Educational Studies,Schooling and Opportunity in American Society,Anita Chikkatur
Educational Studies,Issues in Science Education: Policy and Praxis,Eric Swan McDonald
Educational Studies,"Thinking, Reasoning, and Decision Making: Experimental Approaches",Kathleen Galotti
